ime,drzava,leto,rang,miza
WCS Roberto Sport 2004,Italy,2004,WS,table_18
WCS Bonzini 2004,France,2004,WS,table_16
WCS Eurosoccer 2004,Belgium,2004,WS,table_25
WCS Tornado 2004,United States,2004,WS,table_22
World Championships 2005,Italy,2004,WCHs,table_23
Germany Open,Germany,2005,Masters,table_16
Hungarian Master Series ,Hungary,2005,Masters,table_17
Canadian Master series ,Canada,2005,Masters,table_23
WCS Bonzini 2005,France,2005,WS,table_16
Master Series Borgloon,Belgium,2005,Masters,table_25
WCS Roberto Sport 2005,Italy,2005,WS,table_18
Master Series Chicago,United States,2005,Masters,table_22
WCS Garlando 2005,Austria,2005,WS,table_17
WCS Tornado 2005,United States,2005,WS,table_22
Oxford Open,United Kingdom,2005,Masters,table_17
Tokyo Open,Japan,2005,Masters,table_22
World Championships 2006,Italy,2005,WCHs,table_23
Florida State Championships,United States,2006,Pro Tour,table_16
Cambridge Open,United Kingdom,2006,Pro Tour,table_25
Evry Open,France,2006,Pro Tour,table_16
"$25,000 IFP Super Bowl of Foosball",United States,2006,Masters,table_22
Danish Open,Denmark,2006,Masters,table_16
Canada Cup of Foosball,Canada,2006,Pro Tour,table_22
 Abu-Dhabi Open 2006,,2006,Masters,table_22
2006 Jimmy V North Carolina Foosball Open,United States,2006,Masters,table_16
Tornado International Championships,United States,2006,International,table_22
Czech Championships,Czech Republic,2006,Pro Tour,table_19
Foosapalooza,Canada,2006,Pro Tour,table_22
Hungarian Master Series ,Hungary,2006,Masters,table_17
Polish Championships,Poland,2006,Pro Tour,table_17
WCS Bonzini 2006,France,2006,WS,table_16
 Tokyo Open,Japan,2006,Masters,table_22
2006 China Baby-Foot Championships,China,2006,Pro Tour,table_23
Argentina Open,,2006,Pro Tour,table_22
Superchallenge III,Slovakia,2006,Pro Tour,table_23
1st Table Soccer World Cup - 2006,Germany,2006,World Cup,table_23
National Tournament,Costa Rica,2006,Masters,table_22
Dubai Open 2006,,2006,Pro Tour,table_22
Varel Challenger,Germany,2006,Masters,table_21
WCS Garlando 2006,Austria,2006,WS,table_17
"$25,000 IFP Kentucky State Championships",United States,2006,Masters,table_22
African Open,South Africa,2006,International,table_23
2006 Minnesota State Championships ,United States,2006,Pro Tour,table_22
UK Masters,United Kingdom,2006,Masters,table_22
WCS Tornado 2006,United States,2006,WS,table_22
Czech Open,Czech Republic,2006,Masters,table_19
Japan Open,Japan,2006,International,table_23
2006 Bart O&#039;Hearn,United States,2006,Pro Tour,table_22
World Championships 2007,Italy,2006,WCHs,table_23
Open de Montreuil sur Mer,France,2006,Pro Tour,table_16
Austrian Championships,Austria,2006,Pro Tour,table_17
National Foosball Challenge,,2006,Pro Tour,table_22
1er Campeonato Nacional de Futbolmesa Mexico,,2006,Pro Tour,table_23
Open d&#039;Evry,France,2007,Masters,table_16
"$30,000 IFP Super Bowl of Foosball",United States,2007,Masters,table_22
Danish Open,Denmark,2007,Masters,table_16
"$10,000 MO-KAN Shoot-out",United States,2007,Pro Tour,table_22
ZOH Open,Netherlands,2007,Pro Tour,table_20
Polish Cup,Poland,2007,Pro Tour,table_17
Abu-Dhabi Masters,,2007,Masters,table_22
Open de Hoenheim ,France,2007,Pro Tour,table_16
2007 Jimmy V North Carolina Foosball Open,United States,2007,Masters,table_16
Danube Open 2007,Austria,2007,Masters,table_17
Breakers Open,,2007,Pro Tour,table_22
Open Dutch Singles &amp; Doubles Championships 2007,Netherlands,2007,Pro Tour,table_20
Tornado International Championships,United States,2007,International,table_22
Luxembourg ITSF Masters Open,Luxembourg,2007,Masters,table_21
Czech Championships,Czech Republic,2007,Pro Tour,table_19
Romanian Foosball Open,Romania,2007,Pro Tour,table_19
Hungarian Open,Hungary,2007,Pro Tour,table_27
German Bonzini Open 2007,Germany,2007,Masters,table_16
Tokyo Open 2007,Japan,2007,Masters,table_23
Moscow RS Open,ROC,2007,Pro Tour,table_18
Dubai Open 2007,,2007,Pro Tour,table_22
UK OPen,United Kingdom,2007,Masters,table_17
2007 Canada Cup,Canada,2007,Pro Tour,table_22
WCS Bonzini 2007,France,2007,WS,table_16
Texas State Championships,United States,2007,Masters,table_22
Malaysia Open,,2007,Masters,table_22
WCS Tecball 2007,Belgium,2007,WS,table_21
Polish Championships,Poland,2007,Masters,table_17
Dutch Masters 2007,Netherlands,2007,Masters,table_21
Wild West Styrian Open 2007,Austria,2007,Pro Tour,table_17
Superchallenge 2007,Slovakia,2007,Pro Tour,table_23
"$20,000 Colorado State Championships",United States,2007,Pro Tour,table_22
2007 Thunder in the Mt Foosball Spectacular,United States,2007,Pro Tour,table_16
WCS Roberto Sport 2007,Switzerland,2007,WS,table_18
VIFA Asia Open,,2007,International,table_22
WCS Garlando 2007,Austria,2007,WS,table_17
"$35,000 Kentucky State Championships",United States,2007,Masters,table_22
Slovak Championships 2007,Slovakia,2007,Masters,table_19
State of Origin Foosball Championships,Australia,2007,Pro Tour,table_22
2007 China Championships,China,2007,Pro Tour,table_23
Louisiana State Championships,United States,2007,Pro Tour,table_22
2007 Minnesota State Championships,United States,2007,Masters,table_22
Oxford Open,United Kingdom,2007,Pro Tour,table_17
UK Masters,United Kingdom,2007,Pro Tour,table_22
Foosapalooza,Canada,2007,Pro Tour,table_22
Roberto Sport Challenge,,2007,Pro Tour,table_18
German Leonhart Open 2007,Germany,2007,Pro Tour,table_28
5th UAE Foosball Championship,,2007,Pro Tour,table_22
Czech Open,Czech Republic,2007,Masters,table_19
Japan Open,Japan,2007,International,table_22
WCS Tornado 2007,United States,2007,WS,table_22
"$10,000 Bart O&#039;Hearn Memorial",United States,2007,Pro Tour,table_22
Romanian Multitable Championships,Romania,2007,Pro Tour,table_23
33rd Annual NC State Foosball Championships,United States,2007,Masters,table_16
World Championships 2008,Italy,2007,WCHs,table_23
Austrian Championships 2007,Austria,2007,Pro Tour,table_17
Open de Montreuil sur Mer,France,2007,Pro Tour,table_16
India Open,India,2007,Masters,table_18
2ndo Campeonato Nacional de Futbolmesa,,2007,Pro Tour,table_23
2007 China Open,China,2007,Pro Tour,table_23
National Foosball Challenge,,2007,Pro Tour,table_22
Open d&#039;Evry,France,2008,Masters,table_16
IFP Tour Kick Off,United States,2008,Masters,table_22
Liverpool Open,United Kingdom,2008,Pro Tour,table_17
Danish Open,Denmark,2008,Masters,table_16
Abu-Dhabi Masters,,2008,Masters,table_22
Danube Open,Austria,2008,Masters,table_17
Superchallenge 2008,Slovakia,2008,Pro Tour,table_23
Jimmy &#039;V&#039; North Carolina Foosball Open,United States,2008,Masters,table_16
Open de Hoenheim,France,2008,Pro Tour,table_16
Moscow RS Open,ROC,2008,Pro Tour,table_18
Tornado International Championships,United States,2008,International,table_22
10th Czech Championships,Czech Republic,2008,Pro Tour,table_19
Dutch Open 2008,Netherlands,2008,Pro Tour,table_28
Hereford Tornado Open,United Kingdom,2008,Masters,table_22
Romanian Bonzini Championships,Romania,2008,Pro Tour,table_16
Quebec Bonzini Provincial Tournament,Canada,2008,Pro Tour,table_16
Drei Fluesse Open Passau,Germany,2008,Pro Tour,table_28
Dubai Open 2008,,2008,Pro Tour,table_22
German Tecball Open 2008,Germany,2008,Masters,table_21
WCS Bonzini 2008,France,2008,WS,table_16
Kanto Open 2008,Japan,2008,Masters,table_22
Texas State Championships,United States,2008,Masters,table_22
Polish Rosengart Championships,Poland,2008,Pro Tour,table_19
Czech Bonzini Pro Tour,Czech Republic,2008,Pro Tour,table_16
Dutch Masters 2008,Netherlands,2008,Masters,table_21
Colorado State Championships,United States,2008,Pro Tour,table_22
UK Open,United Kingdom,2008,Pro Tour,table_23
Romanian Garlando Championships,Romania,2008,Pro Tour,table_17
WCS Tecball 2008,Germany,2008,WS,table_21
7th VIFA ASIA OPEN,,2008,International,table_22
25th Annual VA State Foosball Championships &amp; Thunder in the Mountains Foosball Spectacular,United States,2008,Pro Tour,table_16
WCS Garlando 2008,Austria,2008,WS,table_17
2008 China Open,China,2008,Pro Tour,table_22
Slovak Championships 2008,Slovakia,2008,Masters,table_19
German Leonhart Open 2008,Germany,2008,Pro Tour,table_28
Vilnius Open 2008,Lithuania,2008,Pro Tour,table_17
WCS Roberto Sport 2008,Switzerland,2008,WS,table_18
Austrian Championships 2008,Austria,2008,Pro Tour,table_17
WCS Tornado 2008,United States,2008,WS,table_22
3rd Czech Open 2008,Czech Republic,2008,Masters,table_19
The 34th Annual North Carolina State Foosball Championships,United States,2008,Masters,table_16
Roberto Sport Challenge,,2008,Masters,table_18
Japan Open 2008,Japan,2008,International,table_22
2008 Florida State Foosball Championships,United States,2008,Pro Tour,table_22
9th Annual Bart O&#039;Hearn Celebration,United States,2008,Pro Tour,table_22
Great Pumpkin Classic,United States,2008,Masters,table_22
World Championships 2009,France,2009,WCHs,table_23
Montreuil sur Mer Open,France,2008,Pro Tour,table_16
Polish Garlando Championships,Poland,2008,Masters,table_17
3er Campeonato Nacional Abierto Clasificatorio 2008,,2008,Pro Tour,table_17
WORLD CUP 2009,France,2009,World Cup,table_23
Liverpool Open 2009,United Kingdom,2009,Pro Tour,table_17
Danish Open 2009,Denmark,2009,Masters,table_16
Danube Open,Austria,2009,Masters,table_17
2009 Maryland State Foosball Championships,United States,2009,Pro Tour,table_22
Hoenheim Open,France,2009,Masters,table_16
Spillern Open,Austria,2009,Pro Tour,table_17
2009 Hall of Fame Classic,United States,2009,International,table_22
WCS Tecball 2009,Netherlands,2009,WS,table_21
11th Czech championships,Czech Republic,2009,Pro Tour,table_19
ABU-DHABI MASTERS,,2009,Masters,table_22
Oxford International Open 2009,United Kingdom,2009,Pro Tour,table_17
Tornado National Doubles Championships,United States,2009,Masters,table_22
Evry open,France,2009,Pro Tour,table_16
Green Heart Open,Austria,2009,Pro Tour,table_17
Slovak Open 2009,Slovakia,2009,Masters,table_19
Moscow RS Open,ROC,2009,Pro Tour,table_18
Kanto Open,Japan,2009,Pro Tour,table_22
Taiwan Foosball Open,Chinese Taipei,2009,Pro Tour,table_22
WCS Bonzini 2009,France,2009,WS,table_16
Texas State Championships,United States,2009,Masters,table_22
Polish Cup,Poland,2009,Pro Tour,table_17
Bavarian Open,Germany,2009,Pro Tour,table_28
Masters Invitational,United States,2009,Masters,table_22
Saint-Petersburg Open 2009,ROC,2009,Pro Tour,table_17
Dubai Open,,2009,Pro Tour,table_22
Dutch Masters,Netherlands,2009,Masters,table_21
The Major&#039; Tornado Open,United Kingdom,2009,Masters,table_22
Czech Bonzini Pro Tour,Czech Republic,2009,Pro Tour,table_16
Romanian Garlando Championships,Romania,2009,Pro Tour,table_17
Houston City Championships,United States,2009,Pro Tour,table_22
Saarland Open,Germany,2009,Pro Tour,table_28
WCS Garlando 2009,Austria,2009,WS,table_17
2009 China Open,China,2009,Pro Tour,table_23
7th U.A.E. Foosball Championship,,2009,International,table_22
German Open,Germany,2009,Masters,table_28
WCS Tornado 2009,United States,2009,WS,table_22
SOFIA OPEN RS Pro Tour,,2009,Pro Tour,table_18
Czech open 2009,Czech Republic,2009,Masters,table_19
Roberto Sport Polish Championships,Poland,2009,Pro Tour,table_18
Moscow Cup,ROC,2009,Masters,table_18
Luxembourg Open,Luxembourg,2009,Pro Tour,table_21
Canadian Table Soccer Nationals,Canada,2009,Masters,table_22
Sofia Grand MASTERS 09,,2009,Masters,table_18
Slovenia Open,Slovenia,2009,Pro Tour,table_23
Japan Open,Japan,2009,International,table_22
WCS Roberto Sport 2009,Czech Republic,2009,WS,table_18
10th Annual Bart O&#039; Celebration,United States,2009,Masters,table_22
I. Sardi Pro Tour,Hungary,2009,Pro Tour,table_27
WORLD CHAMPIONSHIPS 2010,France,2010,WCHs,table_23
Montreuil sur mer Open,France,2009,Masters,table_16
Austrian Championships 2009,Austria,2009,Masters,table_17
India Open,India,2009,Masters,table_29
Final Española de Futbolin 2009,Spain,2009,Pro Tour,table_18
1er Open Sardi Sport,,2009,Pro Tour,table_27
WORLD CUP 2010,France,2010,World Cup,table_23
Liverpool Open 2010,United Kingdom,2010,Pro Tour,table_17
Danube Open,Austria,2010,Pro Tour,table_17
2010 Hall of Fame Classic,United States,2010,Masters,table_22
40th Anniversary Aiglon,Luxembourg,2010,Pro Tour,table_21
Evry Open,France,2010,Pro Tour,table_16
Abu- Dhabi Master 2010,,2010,Masters,table_22
12th Czech Championships,Czech Republic,2010,Pro Tour,table_19
German Open Tornado,Germany,2010,Pro Tour,table_22
Hoenheim Open,France,2010,Pro Tour,table_16
WCS Tecball 2010,Germany,2010,WS,table_21
Slovak Open 2010,Slovakia,2010,Masters,table_19
1st Letzebuerg Open,Luxembourg,2010,Masters,table_21
WCS Bonzini 2010,France,2010,WS,table_16
2010 China Championships,China,2010,Pro Tour,table_29
Moscow RS Open – 2010,ROC,2010,Pro Tour,table_18
Texas State Championships,United States,2010,Masters,table_22
Bavarian Open,Germany,2010,Masters,table_28
Roberto Sport Challenge,,2010,Pro Tour,table_18
Dubai Open,,2010,Pro Tour,table_22
Romanian Bonzini Championships,Romania,2010,Pro Tour,table_16
IFP US National Championships,United States,2010,Masters,table_22
CZech Bonzini Pro tour 2010,Czech Republic,2010,Pro Tour,table_16
Stubenberg Open,Austria,2010,Pro Tour,table_17
Romanian Garlando Championships,Romania,2010,Pro Tour,table_17
Slovenia Coast Championship ,Slovenia,2010,Masters,table_18
Forth Worth Open,United States,2010,Pro Tour,table_29
UK Masters 2010,United Kingdom,2010,Pro Tour,table_22
Moscow Challenge 2010,ROC,2010,Pro Tour,table_18
WCS Garlando 2010,Austria,2010,WS,table_17
Kentucky State Championships,United States,2010,Pro Tour,table_22
Slovak Championships 2010,Slovakia,2010,Pro Tour,table_19
Abu Dhabi Open,,2010,Pro Tour,table_22
German Open,Germany,2010,Pro Tour,table_28
Tornado Championships,United States,2010,Masters,table_22
FOOS-IN Open 2010,Lithuania,2010,Pro Tour,table_18
Sofia OPEN Pro Tour,,2010,Pro Tour,table_18
Louisiana State Championships,United States,2010,Pro Tour,table_22
5th Czech open 2010,Czech Republic,2010,Masters,table_19
Polish Garlando Championship,Poland,2010,Masters,table_17
Master Series de babyfoot Bonzini,Canada,2010,Masters,table_16
Moscow Cup ,ROC,2010,Masters,table_18
Bart O&#039;Hearn Celebration,United States,2010,Masters,table_29
Sofia GRAND Masters,,2010,Masters,table_18
Saint-Petersburg Open 2010,ROC,2010,Pro Tour,table_17
Izmir Bonzini Pro Tour ,Turkey,2010,Pro Tour,table_16
WCS Roberto Sport 2010,Czech Republic,2010,WS,table_18
Fireball U.S. Open,United States,2010,Masters,table_29
Ohio State Championships,United States,2010,Pro Tour,table_22
Danish Open,Denmark,2010,Masters,table_16
Japan Open,Japan,2010,International,table_22
Slovenian Open,Slovenia,2010,Pro Tour,table_18
European Fireball Open,United Kingdom,2010,Masters,table_29
WORLD CHAMPIONSHIPS 2011,France,2011,WCHs,table_23
Final Española de Futbolin 2010,Spain,2010,Pro Tour,table_23
Montreuil sur Mer Open,France,2010,Masters,table_16
2010 Polish Roberto Sport Championship,Poland,2010,Pro Tour,table_18
Austrian Championships,Austria,2010,Pro Tour,table_17
4to Campeonato nacional Futbolmesa Copa Bicentenario,,2010,Pro Tour,table_17
Equipe nationale,Luxembourg,2010,Pro Tour,table_21
Foos-In Christmas Open 2010,Lithuania,2010,Pro Tour,table_18
WORLD CUP 2011,France,2011,World Cup,table_23
Liverpool Open 2011,United Kingdom,2011,Pro Tour,table_17
Danube Open 2011,Austria,2011,Masters,table_17
Hoenheim Open,France,2011,Pro Tour,table_16
Hall of Fame Classic,United States,2011,International,table_22
Bath Spa Open,United Kingdom,2011,Pro Tour,table_17
Cheers WST-Open,Austria,2011,Pro Tour,table_17
13th Czech Championships,Czech Republic,2011,Pro Tour,table_19
Foos for Life,Belgium,2011,Pro Tour,table_28
Romanian Bonzini Championships,Romania,2011,Pro Tour,table_16
Slovak Open 2011,Slovakia,2011,Masters,table_19
Evry Open,France,2011,Pro Tour,table_16
U.S. Open,United States,2011,Masters,table_22
2011 Taipei Foosball Open,Chinese Taipei,2011,Pro Tour,table_22
China Open,China,2011,Pro Tour,table_29
Vilnius Open,Lithuania,2011,Masters,table_17
ITSF Pro Tour Germany 2011,Germany,2011,Pro Tour,table_28
Texas State Championships,United States,2011,Masters,table_22
"Fokai, ITSF Pro Tour, Summer Feast ",Turkey,2011,Pro Tour,table_17
WCS Bonzini 2011,France,2011,WS,table_16
Roberto Sport Challenge,,2011,Pro Tour,table_18
Hungarian Open,Hungary,2011,Pro Tour,table_23
Rheinland-Pfalz Open,Germany,2011,Pro Tour,table_28
4th Dutch Masters,Netherlands,2011,Masters,table_18
U. S. National Championships,United States,2011,Masters,table_22
III Polish Roberto Sport Championships,Poland,2011,Pro Tour,table_18
Czech Bonzini PRO TOUR IV.,Czech Republic,2011,Pro Tour,table_16
FOOSstock,Lithuania,2011,Pro Tour,table_17
Jena Open,Germany,2011,Pro Tour,table_28
Romanian Garlando Pro Tour,Romania,2011,Pro Tour,table_17
Campeonato Internacional Costa Rica 2011,Costa Rica,2011,International,table_29
Slovenia Coast Masters 2011,Slovenia,2011,Masters,table_18
WCS Garlando 2011,Austria,2011,WS,table_17
Slovak Championships 2011,Slovakia,2011,Pro Tour,table_19
Danish Open,Denmark,2011,Masters,table_16
Mistrzostwa Wielkopolski,Poland,2011,Pro Tour,table_17
Leonhart German Open,Germany,2011,Masters,table_28
Tornado Championships,United States,2011,International,table_22
Swim&#039;n Foos ,Turkey,2011,Pro Tour,table_28
Swim&#039;Foos More ,Turkey,2011,Pro Tour,table_28
Foos-In Open 2011,Lithuania,2011,Pro Tour,table_18
Sofia Open,,2011,Pro Tour,table_18
Master Series Montreal 2011,Canada,2011,Masters,table_16
WCS Leonhart 2011,Germany,2011,WS,table_28
Moscow Challenge by William Lawson&#039;s,ROC,2011,Masters,table_17
6th Czech Open 2011,Czech Republic,2011,Masters,table_19
Western Open,United States,2011,Masters,table_29
Sofia Grand Masters,,2011,Masters,table_18
12th Annual Bart O&#039;Hearn Celebration,United States,2011,Masters,table_22
Romanian Bonzini Open,Romania,2011,Pro Tour,table_16
European Fireball Open 2011,United Kingdom,2011,Masters,table_29
WORLD CHAMPIONSHIPS 2012,France,2012,WCHs,table_23
Final de España de Futbolín 2011,Spain,2011,Masters,table_18
XI Polish International Championship Garlando 2011,Poland,2011,Masters,table_17
Montreuil sur Mer Open,France,2011,Pro Tour,table_16
Austrian National Championships,Austria,2011,Pro Tour,table_17
2011 Taiwan Foosball Open,Chinese Taipei,2011,Masters,table_23
FCM Classics Asia Open,,2011,International,table_29
Hungarian Masters,Hungary,2011,Masters,table_28
Kaunas Open,Lithuania,2011,Pro Tour,table_17
WORLD CUP 2012,France,2012,World Cup,table_23
Liverpool Open 2012,United Kingdom,2012,Masters,table_17
Danube Open 2012,Austria,2012,Masters,table_17
Back to Schooling ,Turkey,2012,Pro Tour,table_28
Hoenheim Open,France,2012,Masters,table_16
Antwerp Open,Belgium,2012,Pro Tour,table_28
14th Czech Championships,Czech Republic,2012,Pro Tour,table_19
Roberto Sport World Championships Series,Poland,2012,WS,table_18
Lithuanian Open,Lithuania,2012,Masters,table_17
Romanian Bonzini Championships,Romania,2012,Pro Tour,table_16
Evry Open,France,2012,Pro Tour,table_16
Moscow Challenge,ROC,2012,Masters,table_17
Washington State Open,United States,2012,Masters,table_29
Saarland Bonzini Open ,Germany,2012,Pro Tour,table_16
Belgian Open,Belgium,2012,Masters,table_28
Roberto Sport Master Series ,Turkey,2012,Masters,table_18
Bonzini World Championships Series,France,2012,WS,table_16
South Styrian Open,Austria,2012,Pro Tour,table_17
2012 FCM Classics Asia Open,,2012,International,table_29
Slovak Championships Rosengart 2012,Slovakia,2012,Pro Tour,table_19
EUROPEAN CHAMPIONS CUP 2012,Germany,2012,ECL,table_23
Rheinland-Pfalz Open,Germany,2012,Pro Tour,table_28
Roberto Sport Challenge,,2012,Pro Tour,table_18
Siberia Cup,ROC,2012,Pro Tour,table_18
Slovenian Coast Masters,Slovenia,2012,Masters,table_18
Romanian Garlando Pro Tour,Romania,2012,Pro Tour,table_17
Garlando World Championships Series,Austria,2012,WS,table_17
Szeligi Open Game 2012,Poland,2012,Pro Tour,table_17
Leonhart German Open,Germany,2012,Masters,table_28
Sofia Open,,2012,Pro Tour,table_18
Leonhart Open,Belgium,2012,Pro Tour,table_28
Saint-Petersburg Open,ROC,2012,Pro Tour,table_17
Fireball U.S. Open,United States,2012,International,table_29
Australian Open,Australia,2012,Masters,table_29
Leonhart World Championships Series,Germany,2012,WS,table_28
Sofia Grand Masters,,2012,Masters,table_18
Western Open,United States,2012,Pro Tour,table_29
Romanian Bonzini Masters,Romania,2012,Masters,table_16
Fireball World Championship Series,Chinese Taipei,2012,WS,table_29
Moscow Cup,ROC,2012,Pro Tour,table_17
WORLD CHAMPIONSHIPS 2013,France,2013,WCHs,table_23
Montreuil sur Mer Open,France,2012,Pro Tour,table_16
Austrian National Championships,Austria,2012,Pro Tour,table_17
Mistrzostwa Polski Garlando 2012,Poland,2012,Pro Tour,table_17
Belgian Open,Belgium,2012,Masters,table_28
WORLD CUP 2013,France,2013,World Cup,table_23
Liverpool Open 2013,United Kingdom,2013,Masters,table_17
Czech Leonhart Open 2013,Czech Republic,2013,Pro Tour,table_28
Danube Open,Austria,2013,Masters,table_17
Hoenheim Open,France,2013,Masters,table_16
Taichung Foosball Open,Chinese Taipei,2013,Pro Tour,table_29
Pro Tour Segré,France,2013,Pro Tour,table_16
Antwerp Open,Belgium,2013,Masters,table_28
Luxembourg Leonhart Open,Luxembourg,2013,Masters,table_28
Green Heart Open,Austria,2013,Pro Tour,table_17
Deutsch-Französische Tischfußballtage,Germany,2013,Pro Tour,table_16
2013 Shanghai Open,China,2013,Masters,table_29
Desert Classic ,United States,2013,Masters,table_81
Master Series Evry,France,2013,Masters,table_16
Washington State Open,United States,2013,Pro Tour,table_29
Bonzini World Championships Series,France,2013,WS,table_16
