ime,drzava,leto,rang,miza
1. Austrian Leonhart Open - ITSF Master Tour 2023,Austria,2023,Masters,table_28
Pro Tour Evry - ITSF Pro Tour 2023,France,2023,Pro Tour,table_16
PRAGUE ROSENGART OPEN 2023 - ITSF Pro Tour 2023,Czech Republic,2023,Pro Tour,table_19
Jahreseröffnungsturnier 2023 Luzern - ITSF Master Tour 2023,Switzerland,2023,Masters,table_17
CAMPEONATO VILLAREJO DE SALVANES 2023 - ITSF Pro Tour 2023,Spain,2023,Pro Tour,table_28
2023 Kentucky State / Tour Kick Off - ITSF Master Tour 2023,United States,2023,Masters,table_22
Masters SG Koroška - ITSF Master Series 2023,Slovenia,2023,Masters,table_17
Master Series - Hoenheim - ITSF Master Tour 2023,France,2023,Masters,table_16
Georgia State Championships - ITSF Pro Tour 2023,United States,2023,Pro Tour,table_22
Warwickshire Open - ITSF Pro Tour 2023,United Kingdom,2023,Pro Tour,table_18
P4P Darmstadt Open - ITSF ProTour 2023,Germany,2023,Pro Tour,table_26
FUS Slovak Open 2023 - ITSF Master Tour 2023,Slovakia,2023,Masters,table_19
Storm Riders Open - ITSF ProTour 2023,Bulgaria,2023,Pro Tour,table_28
Vienna Open III. - ITSF Master Series 2023,Austria,2023,Masters,table_17
Open National La Chapelle sur Erdre - ITSF Pro Tour 2023,France,2023,Pro Tour,table_16
1st Pro Tour Youth Westernohe - ITSF Pro Tour 2023,Germany,2023,Pro Tour,table_28
Hall Of Fame Classic - ITSF International Tour 2023,United States,2023,International,table_22
24th CZECH ROSENGART CHAMPIONSHIP 2023 - ITSF Pro Tour 2023,Czech Republic,2023,Pro Tour,table_19
CAMPEONATO INTERNACIONAL VALDILECHA - ITSF Master Tour 2023,Spain,2023,Masters,table_28
ITSF Masters Hamburg 2023 - ITSF MasterTour 2023,Germany,2023,Masters,table_28
Masters Open Championship - ITSF Pro Tour 2023,United States,2023,Pro Tour,table_22
ITSF Youth Masters Hamburg - ITSF Master Series 2023,Germany,2023,Masters,table_28
2ND NTSFI TABLE SOCCER CUP - ITSF Pro Tour 2023,India,2023,Pro Tour,table_26
Hill&#039;s Kings Open - ITSF ProTour2023,Bulgaria,2023,Pro Tour,table_28
World Series By Bonzini 2023 - ITSF World Series Tour 2023,France,2023,WS,table_16
